Vertices,Edge %,Chromatic Number,Avg Time (ms),Basic Operations,Configurations Tested
4,12.5,1,0.0056,4,1
4,25,2,0.0183,16,4
4,50,2,0.0126,20,5
4,75,2,0.0079,20,5
5,12.5,2,0.0076,20,4
5,25,2,0.0077,20,4
5,50,3,0.0608,360,72
5,75,3,0.0645,340,68
6,12.5,2,0.0070,18,3
6,25,2,0.0157,84,14
6,50,4,0.8883,5364,894
6,75,4,1.1281,7308,1218
7,12.5,2,0.0086,28,4
7,25,2,0.0129,63,9
7,50,3,0.3517,2905,415
7,75,4,3.3354,24647,3521
8,12.5,2,0.0153,88,11
8,25,3,0.3323,2464,308
8,50,3,1.4208,11616,1452
8,75,4,12.8536,105464,13183
9,12.5,2,0.0976,1026,114
9,25,3,1.2670,12042,1338
9,50,4,42.9893,404676,44964
9,75,5,438.0360,3568365,396485
10,12.5,2,0.0243,210,21
10,25,3,3.2279,34220,3422
10,50,4,132.8025,1368410,136841
10,75,5,1943.8163,16736210,1673621
