Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested
4,0 (12.5%),1,0.0367,0,1
4,1 (25%),2,0.0129,4,4
4,3 (50%),2,0.0107,9,5
4,4 (75%),2,0.0095,9,5
5,1 (12.5%),2,0.0234,4,4
5,2 (25%),2,0.0093,5,4
5,5 (50%),3,0.0648,143,72
5,7 (75%),3,0.1006,119,68
6,1 (12.5%),2,0.0103,3,3
6,3 (25%),2,0.0179,24,14
6,7 (50%),4,0.8309,2315,894
6,11 (75%),4,1.2941,3411,1218
7,2 (12.5%),2,0.0119,5,4
7,5 (25%),2,0.0148,19,9
7,10 (50%),3,0.3355,797,415
7,15 (75%),4,3.1717,9522,3521
8,3 (12.5%),2,0.0172,17,11
8,7 (25%),3,0.3140,642,308
8,14 (50%),3,1.2367,4099,1452
8,21 (75%),4,11.6031,36514,13183
9,4 (12.5%),2,0.0832,181,114
9,9 (25%),3,1.2240,3295,1338
9,18 (50%),4,36.3777,114325,44964
9,27 (75%),5,395.0298,1430798,396485
10,5 (12.5%),2,0.0973,35,21
10,11 (25%),3,3.4037,7282,3422
10,22 (50%),4,117.8827,373026,136841
10,33 (75%),5,1586.0767,6332213,1673621
