Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
4,0 (12.5%),1,0.0153,0,4,0
4,1 (25%),2,0.0093,1,4,0
4,3 (50%),2,0.0081,2,4,0
4,4 (75%),2,0.0067,2,4,0
5,1 (12.5%),2,0.0269,1,5,0
5,2 (25%),2,0.0072,2,5,0
5,5 (50%),3,0.0083,4,5,0
5,7 (75%),3,0.0083,4,5,0
6,1 (12.5%),2,0.0267,1,6,0
6,3 (25%),2,0.0112,2,6,0
6,7 (50%),4,0.0088,7,6,0
6,11 (75%),4,0.0103,9,6,0
7,2 (12.5%),2,0.0093,2,7,0
7,5 (25%),2,0.0081,3,7,0
7,10 (50%),3,0.0091,7,7,0
7,15 (75%),4,0.0100,13,7,0
8,3 (12.5%),2,0.0091,3,8,0
8,7 (25%),3,0.0095,6,8,0
8,14 (50%),4,0.0105,8,8,1
8,21 (75%),4,0.0110,14,8,0
9,4 (12.5%),2,0.0117,3,9,0
9,9 (25%),3,0.0105,7,9,0
9,18 (50%),4,0.0112,16,9,0
9,27 (75%),5,0.0160,16,9,0
10,5 (12.5%),2,0.0331,3,10,0
10,11 (25%),3,0.0138,10,10,0
10,22 (50%),4,0.0136,12,10,0
10,33 (75%),5,0.0167,22,10,0
11,6 (12.5%),2,0.0207,5,11,0
11,13 (25%),3,0.0348,6,11,0
11,27 (50%),4,0.0145,14,11,0
11,41 (75%),6,0.0234,29,11,0
12,8 (12.5%),2,0.0193,5,12,
12,16 (25%),3,0.0148,10,12,
12,33 (50%),4,0.0150,18,12,
12,49 (75%),7,0.0181,34,12,
13,9 (12.5%),3,0.0134,7,13,
13,19 (25%),3,0.0143,11,13,
13,39 (50%),5,0.0160,24,13,
13,58 (75%),6,0.0181,34,13,
14,11 (12.5%),2,0.0141,7,14,
14,22 (25%),4,0.0145,11,14,
14,45 (50%),5,0.0174,26,14,
14,68 (75%),7,0.0188,42,14,
15,13 (12.5%),3,0.0150,11,15,
15,26 (25%),3,0.0150,17,15,
15,52 (50%),6,0.0169,27,15,
15,78 (75%),7,0.0203,48,15,
16,15 (12.5%),3,0.0143,9,16,
16,30 (25%),4,0.0162,20,16,
16,60 (50%),5,0.0196,32,16,
16,90 (75%),7,0.0217,49,16,
17,17 (12.5%),3,0.0491,10,17,
17,34 (25%),4,0.0169,20,17,
17,68 (50%),6,0.0205,36,17,
17,102 (75%),8,0.0231,50,17,
18,19 (12.5%),3,0.0339,11,18,
18,38 (25%),4,0.0193,20,18,
18,76 (50%),5,0.0205,32,18,
18,114 (75%),8,0.0260,73,18,
19,21 (12.5%),3,0.0167,12,19,
19,42 (25%),4,0.0229,20,19,
19,85 (50%),7,0.0241,41,19,
19,128 (75%),8,0.0279,69,19,
20,23 (12.5%),3,0.0176,13,20,
20,47 (25%),4,0.0210,25,20,
20,95 (50%),6,0.0250,50,20,
20,142 (75%),9,0.0303,83,20,
21,26 (12.5%),3,0.0181,18,21,
21,52 (25%),5,0.0212,31,21,
21,105 (50%),6,0.0265,52,21,
21,157 (75%),9,0.0327,79,21,
22,28 (12.5%),3,0.0205,20,22,
22,57 (25%),4,0.0234,27,22,
22,115 (50%),6,0.0279,46,22,
22,173 (75%),10,0.0346,97,22,
23,31 (12.5%),3,0.0207,18,23,
23,63 (25%),5,0.0238,29,23,
23,126 (50%),8,0.0305,64,23,
23,189 (75%),10,0.0374,100,23,
24,34 (12.5%),4,0.0219,25,24,
24,69 (25%),5,0.0250,40,24,
24,138 (50%),7,0.0319,71,24,
24,207 (75%),10,0.0362,100,24,
25,37 (12.5%),3,0.0350,23,25,
