Vertices,Edge %,Chromatic Number,Exec Time,Precision
4,0 (12.5%),1,0.2942,0
4,1 (25%),2,0.1128,0
4,3 (50%),2,0.1645,0
4,4 (75%),2,0.1132,0
5,1 (12.5%),2,0.1526,0
5,2 (25%),2,0.1605,0
5,5 (50%),3,0.1769,0
5,7 (75%),3,0.2644,0
6,1 (12.5%),2,0.4435,0
6,3 (25%),2,0.2394,0
6,7 (50%),4,0.2718,0
6,11 (75%),4,0.2930,0
7,2 (12.5%),2,0.2697,0
7,5 (25%),2,0.2828,0
7,10 (50%),3,0.3459,0
7,15 (75%),4,0.3242,0
8,3 (12.5%),2,0.3464,0
8,7 (25%),3,0.4675,0
8,14 (50%),3,0.4940,0
8,21 (75%),4,0.4294,0
9,4 (12.5%),2,0.4556,0
9,9 (25%),3,0.4635,0
9,18 (50%),4,0.5133,0
9,27 (75%),5,0.5586,0
10,5 (12.5%),2,0.5648,0
10,11 (25%),3,0.5913,0
10,22 (50%),4,0.6654,0
10,33 (75%),5,0.6986,0
11,6 (12.5%),2,1.1039,0
11,13 (25%),3,0.7141,0
11,27 (50%),4,0.7880,0
11,41 (75%),6,1.8857,0
12,8 (12.5%),2,0.8895,
12,16 (25%),3,0.9923,
12,33 (50%),4,0.9637,
12,49 (75%),7,1.0862,
13,9 (12.5%),3,0.9165,
13,19 (25%),3,1.0107,
13,39 (50%),5,1.1370,
13,58 (75%),6,1.2894,
14,11 (12.5%),2,1.0612,
14,22 (25%),4,1.1604,
14,45 (50%),5,1.3652,
14,68 (75%),7,1.7629,
15,13 (12.5%),3,1.2770,
15,26 (25%),3,1.4367,
15,52 (50%),5,2.0437,
15,78 (75%),7,1.7040,
16,15 (12.5%),3,1.4286,
16,30 (25%),3,1.7376,
16,60 (50%),5,1.9622,
16,90 (75%),7,1.9877,
17,17 (12.5%),3,1.4880,
17,34 (25%),3,1.7397,
17,68 (50%),6,1.9774,
17,102 (75%),7,2.6615,
18,19 (12.5%),3,1.6878,
18,38 (25%),4,1.9023,
18,76 (50%),5,2.2624,
18,114 (75%),8,2.6577,
19,21 (12.5%),3,2.1541,
19,42 (25%),4,2.2678,
19,85 (50%),5,2.5754,
19,128 (75%),8,3.0425,
20,23 (12.5%),3,2.2552,
20,47 (25%),4,2.3921,
20,95 (50%),6,2.9030,
20,142 (75%),9,3.6533,
21,26 (12.5%),3,2.4776,
21,52 (25%),4,2.6417,
21,105 (50%),6,3.3724,
21,157 (75%),8,3.9635,
22,28 (12.5%),3,2.8911,
22,57 (25%),4,3.0339,
22,115 (50%),6,3.7534,
22,173 (75%),9,4.4732,
23,31 (12.5%),3,2.9700,
23,63 (25%),4,3.3078,
23,126 (50%),7,4.2772,
23,189 (75%),10,4.9970,
24,34 (12.5%),3,3.1748,
24,69 (25%),4,3.6185,
24,138 (50%),6,4.9314,
24,207 (75%),9,5.4333,
25,37 (12.5%),3,3.5698,
25,75 (25%),4,3.8950,
25,150 (50%),7,4.9429,
25,225 (75%),10,5.9927,
26,40 (12.5%),3,3.8404,
26,81 (25%),4,4.2367,
26,162 (50%),7,5.4500,
26,243 (75%),10,6.5467,
27,43 (12.5%),3,3.9473,
27,87 (25%),5,4.8022,
27,175 (50%),7,5.9144,
27,263 (75%),10,7.2026,
28,47 (12.5%),3,4.3886,
28,94 (25%),4,5.0070,
28,189 (50%),7,6.4447,
28,283 (75%),10,7.8902,
29,50 (12.5%),3,4.5929,
29,101 (25%),5,5.4858,
29,203 (50%),8,7.1926,
29,304 (75%),12,8.7066,
30,54 (12.5%),3,5.1174,
30,108 (25%),5,5.8463,
30,217 (50%),7,7.6172,
30,326 (75%),11,9.3017,
31,58 (12.5%),3,5.3897,
31,116 (25%),5,6.5191,
31,232 (50%),7,8.4262,
31,348 (75%),12,10.2181,
32,62 (12.5%),3,5.8172,
32,124 (25%),5,6.9757,
32,248 (50%),8,9.0435,
32,372 (75%),11,11.1206,
33,66 (12.5%),3,6.1979,
33,132 (25%),5,7.2820,
33,264 (50%),8,9.6099,
33,396 (75%),13,12.0287,
34,70 (12.5%),4,6.7172,
