Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
4,0 (12.5%),1,0.1998,0,96,0
4,1 (25%),2,0.2267,24,96,0
4,3 (50%),2,0.1400,54,96,0
4,4 (75%),2,0.1175,48,96,0
5,1 (12.5%),2,0.1168,30,150,0
5,2 (25%),2,0.0978,38,150,0
5,5 (50%),3,0.1478,102,150,0
5,7 (75%),3,0.1416,122,150,0
6,1 (12.5%),2,0.1481,36,216,0
6,3 (25%),2,0.1400,87,216,0
6,7 (50%),4,0.1547,223,216,0
6,11 (75%),4,0.2005,295,216,0
7,2 (12.5%),2,0.1776,56,294,0
7,5 (25%),2,0.1855,151,294,0
7,10 (50%),3,0.2112,263,294,0
7,15 (75%),4,0.2117,357,294,0
8,3 (12.5%),2,0.2842,113,384,0
8,7 (25%),3,0.2246,228,384,0
8,14 (50%),3,0.4022,391,384,0
8,21 (75%),4,0.3426,574,384,0
9,4 (12.5%),2,0.2849,139,486,0
9,9 (25%),3,0.2882,317,486,0
9,18 (50%),4,0.3874,583,486,0
9,27 (75%),5,0.4225,912,486,0
10,5 (12.5%),2,0.3617,206,600,0
10,11 (25%),3,0.4578,408,600,0
10,22 (50%),4,0.8082,749,600,0
10,33 (75%),5,0.5288,1167,600,0
11,6 (12.5%),2,0.4368,244,726,
11,13 (25%),3,0.5324,463,726,
11,27 (50%),4,0.5589,1007,726,
11,41 (75%),6,0.8290,1697,726,
12,8 (12.5%),3,0.6034,350,864,
12,16 (25%),3,0.5565,749,864,
12,33 (50%),4,0.7081,1347,864,
12,49 (75%),6,0.8621,2190,864,
13,9 (12.5%),3,0.6669,438,1014,
13,19 (25%),3,0.7055,891,1014,
13,39 (50%),4,0.8919,1751,1014,
13,58 (75%),6,1.1089,2650,1014,
14,11 (12.5%),3,0.7541,654,1176,
14,22 (25%),3,0.8085,991,1176,
14,45 (50%),5,1.0102,1850,1176,
14,68 (75%),7,1.5182,3419,1176,
15,13 (12.5%),3,0.8764,789,1350,
15,26 (25%),3,0.9682,1293,1350,
15,52 (50%),6,1.1880,2538,1350,
15,78 (75%),7,1.4136,3666,1350,
16,15 (12.5%),3,0.9413,1005,1536,
16,30 (25%),4,1.1225,1618,1536,
16,60 (50%),6,1.4863,3324,1536,
16,90 (75%),7,1.7309,4814,1536,
17,17 (12.5%),3,1.1320,1099,1734,
17,34 (25%),4,1.2586,1918,1734,
17,68 (50%),5,1.6966,3534,1734,
17,102 (75%),7,1.9996,5063,1734,
18,19 (12.5%),3,1.2147,1421,1944,
18,38 (25%),4,1.4281,2201,1944,
18,76 (50%),5,1.8675,4253,1944,
18,114 (75%),8,2.3031,6465,1944,
19,21 (12.5%),3,1.5659,1549,2166,
19,42 (25%),4,1.9655,2544,2166,
19,85 (50%),6,2.1241,4643,2166,
19,128 (75%),8,2.6250,7811,2166,
20,23 (12.5%),3,1.5092,1655,2400,
20,47 (25%),4,1.8485,3010,2400,
20,95 (50%),6,2.4285,6100,2400,
